unit_id,source,recording,start_s,end_s,dur_ms,nn_cluster,knn15_dist,outside_envelope,x,y
xc_XC1089006_045,xc,XC1089006,75.3255328798186,75.4184126984127,92,29,7.017,True,7.19,13.44
xc_XC1089006_046,xc,XC1089006,77.52562358276643,77.68816326530613,162,8,5.953,False,1.57,-1.03
xc_XC1089006_047,xc,XC1089006,77.82748299319728,77.91455782312924,87,8,6.112,False,1.13,-1.04
xc_XC1089006_048,xc,XC1089006,78.40217687074829,78.70403628117914,301,30,7.139,True,3.78,7.77
xc_XC1089006_049,xc,XC1089006,79.63283446712018,79.89986394557822,267,-1,7.339,True,4.16,10.76
xc_XC1089006_050,xc,XC1089006,80.34104308390022,80.5558276643991,214,8,5.447,False,1.06,-1.96
xc_XC1089006_051,xc,XC1089006,81.17696145124717,81.43238095238095,255,29,6.824,True,7.12,13.29
xc_XC1089006_052,xc,XC1089006,81.80390022675736,82.05351473922903,249,29,7.346,True,7.1,13.47
xc_XC1089006_053,xc,XC1089006,82.35537414965987,82.58757369614511,232,29,7.06,True,7.19,13.41
xc_XC1089006_054,xc,XC1089006,83.60344671201814,83.71954648526076,116,8,5.881,False,1.28,-1.09
xc_XC1089006_055,xc,XC1089006,84.20716553287983,84.43356009070294,226,8,7.147,True,1.98,-2.46
xc_XC1089006_056,xc,XC1089006,85.59455782312925,85.98349206349205,388,26,7.779,True,3.43,4.69
xc_XC1089006_057,xc,XC1089006,86.58721088435374,86.74975056689341,162,-1,8.073,True,3.63,10.55
xc_XC1089006_058,xc,XC1089006,87.21414965986395,87.36507936507937,150,8,5.98,False,0.11,-1.79
xc_XC1089006_059,xc,XC1089006,87.45795918367347,87.60308390022676,145,8,5.954,False,1.18,-1.75
xc_XC1089006_060,xc,XC1089006,88.03845804988663,88.36353741496599,325,29,7.421,True,6.8,13.1
xc_XC1089006_061,xc,XC1089006,88.52607709750566,88.6421768707483,116,24,7.367,True,6.25,13.88
xc_XC1089006_062,xc,XC1089006,88.75827664399092,88.92081632653061,162,8,6.821,True,6.12,13.07
xc_XC1089006_063,xc,XC1089006,91.23120181405896,91.41696145124716,185,8,5.448,False,1.01,-1.67
xc_XC1089006_064,xc,XC1089006,93.17587301587302,93.3558276643991,179,8,5.752,False,0.55,-1.88
xc_XC1089006_065,xc,XC1089006,94.1859410430839,94.40072562358276,214,8,5.799,False,1.17,-1.72
xc_XC1089006_066,xc,XC1089006,95.15537414965986,95.2714739229025,116,8,4.808,False,1.4,-1.03
xc_XC1089006_067,xc,XC1089006,96.45569160997732,96.75755102040816,301,-1,7.361,True,5.52,11.88
xc_XC1089006_068,xc,XC1089006,97.60507936507936,97.83727891156462,232,30,6.574,True,4.02,8.23
xc_XC1089006_069,xc,XC1089006,98.37133786848072,98.60353741496598,232,-1,7.238,True,2.89,6.34
xc_XC1089006_070,xc,XC1089006,99.18403628117916,99.39301587301588,208,8,5.733,False,1.86,-2.41
xc_XC1089006_071,xc,XC1089006,100.00834467120184,100.19990929705216,191,24,7.226,True,5.44,15.0
xc_XC1089006_072,xc,XC1089006,100.86748299319729,101.076462585034,208,29,6.86,True,5.54,15.12
xc_XC1089006_073,xc,XC1089006,101.40154195011336,101.54086167800452,139,29,6.307,True,7.29,13.37
xc_XC1089006_074,xc,XC1089006,102.90503401360544,103.27074829931972,365,8,6.781,True,1.88,-0.53
xc_XC1089006_075,xc,XC1089006,105.00063492063492,105.26185941043084,261,30,6.167,True,3.98,8.12
xc_XC1089006_076,xc,XC1089006,105.85977324263038,106.16163265306125,301,-1,7.496,True,3.27,5.36
xc_XC1089006_077,xc,XC1089006,106.64344671201812,106.83501133786848,191,8,5.317,False,1.75,-2.23
xc_XC1089006_078,xc,XC1089006,107.57224489795918,107.77541950113378,203,15,7.126,True,7.0,12.58
xc_XC1089006_079,xc,XC1089006,107.89151927437642,108.0366439909297,145,29,6.54,True,6.94,13.6
xc_XC1089006_080,xc,XC1089006,108.70421768707482,108.88997732426304,185,24,7.016,True,6.43,13.16
xc_XC1089006_081,xc,XC1089006,109.20925170068028,109.42403628117914,214,-1,6.812,True,6.39,12.89
xc_XC1089006_082,xc,XC1089006,111.64154195011338,111.7750566893424,133,-1,7.447,True,3.37,12.58
xc_XC1089006_083,xc,XC1089006,112.58775510204082,112.81414965986394,226,30,6.721,True,4.08,8.23
